timekey,date,daynameweek,daynbmonth,monthnumber,monthname,quarter,semester,year
196,2015-12-16,Wednesday,16,12,December ,4,2,2015
197,2015-12-17,Thursday ,17,12,December ,4,2,2015
198,2015-12-18,Friday   ,18,12,December ,4,2,2015
199,2015-12-21,Monday   ,21,12,December ,4,2,2015
200,2015-12-22,Tuesday  ,22,12,December ,4,2,2015
201,2015-12-23,Wednesday,23,12,December ,4,2,2015
202,2015-12-24,Thursday ,24,12,December ,4,2,2015
203,2015-12-28,Monday   ,28,12,December ,4,2,2015
204,2015-12-29,Tuesday  ,29,12,December ,4,2,2015
205,2015-12-30,Wednesday,30,12,December ,4,2,2015
206,2015-12-31,Thursday ,31,12,December ,4,2,2015
207,2016-01-04,Monday   ,4,1,January  ,1,1,2016
208,2016-01-05,Tuesday  ,5,1,January  ,1,1,2016
209,2016-01-06,Wednesday,6,1,January  ,1,1,2016
210,2016-01-07,Thursday ,7,1,January  ,1,1,2016
211,2016-01-08,Friday   ,8,1,January  ,1,1,2016
212,2016-01-11,Monday   ,11,1,January  ,1,1,2016
213,2016-01-12,Tuesday  ,12,1,January  ,1,1,2016
214,2016-01-13,Wednesday,13,1,January  ,1,1,2016
215,2016-01-14,Thursday ,14,1,January  ,1,1,2016
216,2016-01-15,Friday   ,15,1,January  ,1,1,2016
217,2016-01-18,Monday   ,18,1,January  ,1,1,2016
218,2016-01-19,Tuesday  ,19,1,January  ,1,1,2016
219,2016-01-20,Wednesday,20,1,January  ,1,1,2016
220,2016-01-21,Thursday ,21,1,January  ,1,1,2016
221,2016-01-22,Friday   ,22,1,January  ,1,1,2016
222,2016-01-25,Monday   ,25,1,January  ,1,1,2016
223,2016-01-26,Tuesday  ,26,1,January  ,1,1,2016
224,2016-01-27,Wednesday,27,1,January  ,1,1,2016
225,2016-01-29,Friday   ,29,1,January  ,1,1,2016
226,2016-02-01,Monday   ,1,2,February ,1,1,2016
227,2016-02-02,Tuesday  ,2,2,February ,1,1,2016
228,2016-02-03,Wednesday,3,2,February ,1,1,2016
229,2016-02-04,Thursday ,4,2,February ,1,1,2016
230,2016-02-05,Friday   ,5,2,February ,1,1,2016
231,2016-02-10,Wednesday,10,2,February ,1,1,2016
232,2016-02-11,Thursday ,11,2,February ,1,1,2016
233,2016-02-12,Friday   ,12,2,February ,1,1,2016
234,2016-02-15,Monday   ,15,2,February ,1,1,2016
235,2016-02-16,Tuesday  ,16,2,February ,1,1,2016
236,2016-02-17,Wednesday,17,2,February ,1,1,2016
237,2016-02-18,Thursday ,18,2,February ,1,1,2016
238,2016-02-19,Friday   ,19,2,February ,1,1,2016
239,2016-02-22,Monday   ,22,2,February ,1,1,2016
240,2016-02-23,Tuesday  ,23,2,February ,1,1,2016
241,2016-02-24,Wednesday,24,2,February ,1,1,2016
242,2016-02-25,Thursday ,25,2,February ,1,1,2016
243,2016-02-26,Friday   ,26,2,February ,1,1,2016
244,2016-02-29,Monday   ,29,2,February ,1,1,2016
245,2016-03-01,Tuesday  ,1,3,March    ,1,1,2016
246,2016-03-02,Wednesday,2,3,March    ,1,1,2016
247,2016-03-03,Thursday ,3,3,March    ,1,1,2016
248,2016-03-04,Friday   ,4,3,March    ,1,1,2016
249,2016-03-07,Monday   ,7,3,March    ,1,1,2016
250,2016-03-08,Tuesday  ,8,3,March    ,1,1,2016
